time,seconds_elapsed,z,y,x
1761341797874396000,0.06439599609375,-0.0057351174764335155,0.013398629613220692,0.009925601072609425
1761341797884461800,0.0744619140625,-0.006539924535900354,0.01053599826991558,0.006292783189564943
1761341797894528800,0.08452880859375,-0.004998220596462488,0.012466256506741047,0.006530869752168655
1761341797904595000,0.094594970703125,-0.0067750816233456135,0.012338425032794476,0.005200620740652084
1761341797914660900,0.104660888671875,-0.0041705104522407055,0.011757323518395424,0.009092298336327076
1761341797924727000,0.11472705078125,-0.004679972771555185,0.01224574726074934,0.008101868443191051
1761341797934794000,0.1247939453125,-0.007133809383958578,0.012405803427100182,0.00714579364284873
1761341797944860000,0.13485986328125,-0.006972688250243664,0.013010607101023197,0.007502657361328602
1761341797954925800,0.14492578125,-0.0051777176558971405,0.015076687559485435,0.008928514085710049
1761341797964991700,0.15499169921875,-0.0058080879971385,0.010492322035133839,0.009266468696296215
1761341797975058700,0.16505859375,-0.0052016861736774445,0.014003699645400047,0.00884915143251419
1761341797985124900,0.175124755859375,-0.00589677132666111,0.014337926171720028,0.005937783978879452
1761341797995190800,0.185190673828125,-0.003865045728161931,0.01167449913918972,0.0071005201898515224
1761341798005257000,0.195257080078125,-0.006057093385607004,0.01449691690504551,0.0070400661788880825
1761341798015324000,0.205323974609375,-0.006229932885617018,0.01525778230279684,0.0049646650440990925
1761341798025389800,0.215389892578125,-0.006077333353459835,0.012261725962162018,0.007726096548140049
1761341798035456000,0.2254560546875,-0.006073072552680969,0.01290194969624281,0.0062309978529810905
1761341798045522000,0.23552197265625,-0.004534298088401556,0.014673750847578049,0.011246529407799244
1761341798055588900,0.2455888671875,-0.007577492389827967,0.01464871782809496,0.007208378054201603
1761341798065654800,0.25565478515625,-0.00720571493729949,0.014780011028051376,0.006112487055361271
1761341798075720700,0.265720703125,-0.007552724797278643,0.013426326215267181,0.0024839304387569427
1761341798085787000,0.275786865234375,-0.006873618811368942,0.013618074357509613,0.005980394314974546
1761341798095852800,0.285852783203125,-0.005146558862179518,0.009465406648814678,0.010973288677632809
1761341798105919700,0.295919677734375,-0.0057500312104821205,0.016274044290184975,0.007450459524989128
1761341798115986000,0.30598583984375,-0.0031185615807771683,0.014508634805679321,0.005176386330276728
1761341798126051800,0.3160517578125,-0.007679757662117481,0.014177870936691761,0.006611830089241266
1761341798136118000,0.326117919921875,-0.005711148958653212,0.013855627737939358,0.005086371209472418
1761341798146185000,0.33618505859375,-0.004569984506815672,0.012899819761514664,0.007653925102204084
1761341798156251000,0.3462509765625,-0.0076089175418019295,0.013562147505581379,0.00759879732504487
1761341798166316800,0.35631689453125,-0.005323925521224737,0.014253770932555199,0.004878378473222256
1761341798176382700,0.3663828125,-0.005826463922858238,0.011829495429992676,0.01116024237126112
1761341798186449700,0.37644970703125,-0.008882973343133926,0.013656956143677235,0.008537295274436474
1761341798196515800,0.386515869140625,-0.006624347064644098,0.010581271722912788,0.006998254451900721
1761341798206581800,0.396581787109375,-0.0073532541282474995,0.01353445090353489,0.005249356850981712
1761341798216648000,0.40664794921875,-0.006113019771873951,0.014620487578213215,0.007989749312400818
1761341798226715000,0.41671484375,-0.007541273254901171,0.011480887420475483,0.006786533165723085
1761341798236780800,0.42678076171875,-0.005120193585753441,0.014361361972987652,0.008293882943689823
1761341798246847000,0.436846923828125,-0.007227818947285414,0.014044179581105709,0.005883455276489258
1761341798256913000,0.446912841796875,-0.006179332733154297,0.012958142906427383,0.008200138807296753
1761341798266979800,0.456979736328125,-0.0076094502583146095,0.013919278047978878,0.0075604477897286415
1761341798277046000,0.4670458984375,-0.00812077708542347,0.014907044358551502,0.00714552728459239
1761341798287111700,0.477111572265625,-0.007439007982611656,0.013409548439085484,0.0070760189555585384
