time,seconds_elapsed,z,y,x
1761336327761178600,2.7151787109375,0.12486205894351005,-0.05286662565497681,-0.22424451645463703
1761336327771244800,2.725244873046875,0.11451251436471939,0.012625015230104326,-0.16987915840819476
1761336327781311700,2.735311767578125,0.011217559584975242,0.02231689961776137,-0.1087095271743834
1761336327791377700,2.745377685546875,-0.09846329683959483,-0.03789506556503475,-0.08173311131298541
1761336327801443800,2.75544384765625,-0.18053075467348098,-0.06141664653113112,-0.13306107442490755
1761336327811510800,2.7655107421875,-0.1780418604671955,-0.0653307512349449,-0.22454057679176329
1761336327821577000,2.775576904296875,-0.1452811621159315,-0.07831919294996187,-0.25705869855880736
1761336327831644000,2.785643798828125,-0.10169453384578227,-0.09052706048022956,-0.2583587483067065
1761336327841709800,2.795709716796875,-0.061791562524437904,-0.07826256739189848,-0.2214081970501691
1761336327851776800,2.80577685546875,-0.01862988166809082,-0.07320329297464341,-0.15486512914970516
1761336327861843000,2.815843017578125,-0.011937106031179428,-0.0895739062075503,-0.06028495735377073
1761336327871908900,2.825908935546875,-0.006382979035377502,-0.029487850693054495,0.027290304116159677
1761336327881975800,2.835975830078125,0.007554360902309418,0.0390150643046014,0.07100048570074141
1761336327892041700,2.846041748046875,0.015400982749462127,0.05352339079696685,0.10306070763245224
1761336327902109000,2.85610888671875,-0.027841362127661702,0.036630123663134874,0.109260439055413
1761336327912174600,2.866174560546875,-0.09839140064716338,-0.0058137460463680325,0.07377228850163518
1761336327922240800,2.87624072265625,-0.1679693792641163,-0.04084279118841514,0.03576937864795327
1761336327932307700,2.8863076171875,-0.2025461871266365,-0.061242733002640305,0.007268091306835413
1761336327942373600,2.89637353515625,-0.17204057422578334,-0.09305621363166719,-0.027685879305005073
1761336327952440800,2.90644091796875,-0.10736965687274933,-0.08054538109945134,-0.049886605197191236
1761336327962506800,2.9165068359375,-0.0465203436344862,-0.04533007440399378,-0.0562578207295388
1761336327972573000,2.926572998046875,-0.016469488763809204,-0.02324912070026621,-0.01903553985953331
1761336327982639900,2.936639892578125,-0.024341245052218435,-0.020201058241259305,-0.007817907209321856
1761336327992705800,2.946705810546875,-0.023670798444747922,-0.022102160888537763,-0.023718217783048747
1761336328002772700,2.956772705078125,-0.06681026746928692,-0.05908705280609428,-0.04674691893197596
1761336328012839000,2.9668388671875,-0.10118249267041683,-0.10036467348150908,-0.08031718010045588
1761336328022905900,2.97690576171875,-0.11882803947627543,-0.17374054654408244,-0.13864245475381612
1761336328032971800,2.9869716796875,-0.0925175401777029,-0.1433197075835429,-0.16098405042141675
1761336328043038000,2.997037841796875,-0.03709200555384159,-0.03376434070216491,-0.1300753366123885
1761336328053105000,3.00710498046875,-0.00658697717487812,-0.041142979711387306,-0.11120353594720363
1761336328063170800,3.0171708984375,-0.041429742497205733,-0.07426867545014247,-0.026954861616715786
1761336328073238000,3.027238037109375,-0.029046061742305753,-0.020652272607479243,-0.00285582782253623
1761336328083303700,3.0373037109375,-0.03428337787389755,0.03935490898452699,0.020427797935530543
1761336328093369600,3.04736962890625,-0.07550386153459548,0.019770484804268924,0.1058370404779911
1761336328103436800,3.057436767578125,-0.16315993315577507,-0.003897427563648671,0.12009981297776103
1761336328113502700,3.067502685546875,-0.20806816541850565,0.007869436467159539,0.07904168027192354
1761336328123569700,3.077569580078125,-0.22114859626591205,0.009145940942689775,0.06507168017365038
1761336328133635800,3.0876357421875,-0.2060702695995569,-0.01859824442081153,0.09137911073230207
1761336328143702800,3.097702880859375,-0.12621639616191385,-0.054286429325025524,0.0749173668835312
1761336328153768700,3.107768798828125,-0.011152093133330345,-0.06468907406423241,0.002211684700101614
1761336328163835000,3.1178349609375,0.11183598863184452,-0.06744865670436993,-0.06116188631877303
1761336328173901800,3.12790185546875,0.14566986917257307,-0.08717298254566266,-0.07087905127815902
1761336328183967700,3.1379677734375,0.12434826420247554,-0.06874989376235753,-0.07169540916234254
1761336328194034700,3.14803466796875,0.049180502754449844,-0.03288392287213355,-0.06462905097268522
1761336328204100900,3.158100830078125,-0.07124971122145653,0.023951588147506118,-0.0023084230728447437
1761336328214166800,3.168166748046875,-0.19172201077342033,0.025850133511517194,0.08537380590289831
1761336328224234000,3.17823388671875,-0.24427111317813396,-0.013431399709545076,0.13574600265994669
1761336328234300000,3.1882998046875,-0.22186814271211622,-0.015271346754115074,0.1152505463156849
1761336328244366800,3.198366943359375,-0.1497644450098276,-0.023781309614516792,0.04411379394941032
1761336328254432800,3.208432861328125,-0.08426116848587989,-0.04525105435103178,-0.03340177273377776
1761336328264500000,3.2185,-0.08432897302508353,-0.018373185226973145,-0.09831095582209527
1761336328274565600,3.228565673828125,-0.10112462500333785,0.016222089873999358,-0.1345871149484068
1761336328284631800,3.2386318359375,-0.08601356511116028,0.031902565418276935,-0.12916757411770521
1761336328294698800,3.24869873046875,-0.037438042512536046,0.03789786031031981,-0.126820864861086
1761336328304764700,3.2587646484375,0.018067571610212326,0.033099976775608955,-0.12160744106173514
1761336328314831600,3.26883154296875,0.015670447340607643,0.04852649582512676,-0.10744411034844815
1761336328324897800,3.278897705078125,-0.026605682852864264,0.03979289854299277,-0.09182590465173125
1761336328334963700,3.288963623046875,-0.09080313747525215,0.023094898252934214,-0.0911450827807188
1761336328345031000,3.299031005859375,-0.13965338536202906,0.008705156638938933,-0.13317965930327771
1761336328355096800,3.309096923828125,-0.1372170981258154,-0.020196053272578864,-0.15981654101200402
1761336328365163800,3.319163818359375,-0.08712532574534415,-0.0341203327992931,-0.17531762313507496
1761336328375230000,3.32922998046875,0.005458265405893325,-0.04828952699778601,-0.19064291029982267
1761336328385297000,3.339296875,0.07518646614849567,-0.06466832353714853,-0.2194699955292046
1761336328395362800,3.34936279296875,0.08073416340351104,-0.04710676522031426,-0.21894560632891952
1761336328405429000,3.359428955078125,0.05376198532581329,-0.05350974586410448,-0.21111666626892983
1761336328415496000,3.369495849609375,0.000602057546377182,-0.08261086226189508,-0.16295651953816412
1761336328425561900,3.379561767578125,-0.014105097720026969,-0.09633843190642073,-0.12202603179998694
1761336328435628800,3.38962890625,-0.03223521317243576,-0.09997123545082286,-0.09367613562829792
1761336328445695000,3.399695068359375,-0.02639759306013584,-0.10136888208799064,-0.08751951269470155
1761336328455761000,3.409760986328125,-0.02902969512939453,-0.08744451122973114,-0.07042706972695886
1761336328465827800,3.419827880859375,-0.038682489615678786,-0.1415336826832965,-0.08539243753813207
1761336328475894000,3.42989404296875,-0.09510814119279384,-0.09598846769127994,-0.050227600654587146
1761336328485961000,3.4399609375,-0.13650339689850807,0.038626028454396874,0.048009047822281714
1761336328496027000,3.45002685546875,-0.1302571959853172,0.008663856514170766,0.048829497359693046
1761336328506093000,3.460093017578125,-0.11338847877085208,-0.02324851791206747,0.10160890138894318
1761336328516160000,3.470159912109375,-0.05484685795307159,0.009152699477039276,0.10536102046407758
1761336328526226000,3.480225830078125,-0.021458967614173888,0.01592765523837879,0.041402269968390464
1761336328536293000,3.490293212890625,-0.004866729253530502,-0.045259456853196024,-0.003957067062705755
1761336328546359000,3.500359130859375,-0.011343816313147544,-0.0861703996406868,-0.05439158846624195
1761336328556426000,3.510426025390625,-0.03269289381206036,-0.07476210325658321,-0.062364174780622124
1761336328566492000,3.520491943359375,-0.07145897005796432,-0.09913728711102157,-0.04398556445986032
1761336328576557800,3.530557861328125,-0.0972404770463705,-0.10846033818628638,-0.023103081559389827
1761336328586624800,3.540624755859375,-0.11659633490145206,-0.08185487452913075,-0.02815649249143898
1761336328596691000,3.55069091796875,-0.13281857090592383,-0.05990551131581887,-0.007239815060421824
1761336328606758000,3.5607578125,-0.13598726406991482,-0.051032761291321366,0.00093655019775033
1761336328616823800,3.57082373046875,-0.13895254361629486,-0.03303155118189752,-0.027780352655425666
1761336328626890000,3.580889892578125,-0.14397767830193042,-0.008830280855949968,-0.04014876277595758
1761336328636957000,3.59095703125,-0.16423311534523963,0.003616802257671952,-0.048338425907120106
1761336328647022800,3.60102294921875,-0.18188976806700227,-0.02200262777050957,-0.06580649725422263
1761336328657090000,3.611090087890625,-0.18646423637568948,-0.03015500936489552,-0.09294029563441872
1761336328667156000,3.621156005859375,-0.13968611858785152,-0.013292265233490615,-0.1330991414129734
