acc_time,acc_seconds_elapsed,acc_z,acc_y,acc_x,gyro_time,gyro_seconds_elapsed,gyro_z,gyro_y,gyro_x,activity,session
1761391643899540000,0.0835400390625,-1.0659598369956016,-0.112873807246983,-0.3129812229193747,1761391643899540000,0.0835400390625,-0.0388296507298946,-0.1042165160179138,-0.0012877662666141,Jumping,Jumping_13
1761391643909606000,0.09360595703125,-0.8725590793550014,-0.1057487776726484,-0.372901803940162,1761391643909606000,0.09360595703125,-0.0509763173758983,-0.0918660908937454,0.0455229617655277,Jumping,Jumping_13
1761391643919673000,0.103673095703125,-0.587335193541646,-0.111176647940278,-0.406345589184761,1761391643919673000,0.103673095703125,-0.0617669150233268,-0.0856532007455825,0.0618862211704254,Jumping,Jumping_13
1761391643929739000,0.113739013671875,-0.3039899610817432,-0.1396057468280196,-0.3680683924343437,1761391643929739000,0.113739013671875,-0.067784696817398,-0.0719542205333709,0.0556513704359531,Jumping,Jumping_13
1761391643939805000,0.123804931640625,-0.0530757566273212,-0.1553854997619986,-0.2911121401343494,1761391643939805000,0.123804931640625,-0.072639375925064,-0.0570325329899787,0.0343351624906063,Jumping,Jumping_13
1761391643949871000,0.13387109375,0.1525093598037958,-0.157363521836698,-0.2195616924006491,1761391643949871000,0.13387109375,-0.072965420782566,-0.0380185581743717,-0.0001007486134767,Jumping,Jumping_13
1761391643959936800,0.143936767578125,0.295161342459917,-0.1924485714823007,-0.1666984825454652,1761391643959936800,0.143936767578125,-0.0718708634376525,-0.0282748490571975,-0.0283227991312742,Jumping,Jumping_13
1761391643970003000,0.1540029296875,0.3456400683313608,-0.2176052245706319,-0.1164823531329631,1761391643970003000,0.1540029296875,-0.0727949663996696,-0.0250761695206165,-0.0322356820106506,Jumping,Jumping_13
1761391643980068900,0.16406884765625,0.3498018641859293,-0.2160989116609096,-0.0969061305254697,1761391643980068900,0.16406884765625,-0.0765066146850586,-0.0355253517627716,-0.0212568007409572,Jumping,Jumping_13
1761391643990135000,0.174135009765625,0.3381728011906146,-0.2003007462874055,-0.097654830000922,1761391643990135000,0.174135009765625,-0.0822430551052093,-0.0606340765953063,-0.0147090945392847,Jumping,Jumping_13
1761391644000202000,0.184201904296875,0.3230558960795402,-0.1774015167370438,-0.1091740759462118,1761391644000202000,0.184201904296875,-0.0849195346236229,-0.1009687185287475,0.0123334415256977,Jumping,Jumping_13
1761391644010268000,0.194267822265625,0.2894908956080675,-0.1543473888859152,-0.1127672050673514,1761391644010268000,0.194267822265625,-0.0867214947938919,-0.1208065748214721,0.0308295488357543,Jumping,Jumping_13
1761391644020334000,0.204333984375,0.2636737327843904,-0.1199187573224306,-0.1344197224922478,1761391644020334000,0.204333984375,-0.0899625644087791,-0.1173444613814354,0.0479068011045455,Jumping,Jumping_13
1761391644030400000,0.21439990234375,0.3132411890298128,-0.0830547153055667,-0.160453889067471,1761391644030400000,0.21439990234375,-0.0964689254760742,-0.1189833506941795,0.0463265627622604,Jumping,Jumping_13
1761391644040466000,0.2244658203125,0.3880348564684391,-0.0643678427532315,-0.1410905785582959,1761391644040466000,0.2244658203125,-0.1034274995326995,-0.1447600871324539,0.0298482552170753,Jumping,Jumping_13
1761391644050531800,0.23453173828125,0.3850450270026922,-0.1039861519142985,-0.0844201584398746,1761391644050531800,0.23453173828125,-0.1045504212379455,-0.1431887000799179,0.0201022420078516,Jumping,Jumping_13
1761391644060598000,0.244597900390625,0.301136909738183,-0.1570847048953175,-0.0235923263810575,1761391644060598000,0.244597900390625,-0.1168355792760849,-0.1274520754814148,0.0047216895036399,Jumping,Jumping_13
1761391644070665000,0.2546650390625,0.2773772639662027,-0.1537628669962286,0.0538110120993107,1761391644070665000,0.2546650390625,-0.1189917847514152,-0.1249434426426887,-0.0164063554257154,Jumping,Jumping_13
1761391644080731000,0.26473095703125,0.2688549348145723,-0.1024605497822165,0.1072663426287472,1761391644080731000,0.26473095703125,-0.1129040569067001,-0.1391886919736862,-0.045504055917263,Jumping,Jumping_13
1761391644090797000,0.274797119140625,0.2597831550866365,-0.0537763061121106,0.1574072148479521,1761391644090797000,0.274797119140625,-0.1035414487123489,-0.1612029075622558,-0.087189182639122,Jumping,Jumping_13
1761391644100863000,0.284863037109375,0.2546621588110924,-0.0133893506661057,0.1849487903114408,1761391644100863000,0.284863037109375,-0.096193790435791,-0.1886467784643173,-0.136107712984085,Jumping,Jumping_13
1761391644110929000,0.294928955078125,0.2127688904553651,0.0448190926745533,0.1491519391346722,1761391644110929000,0.294928955078125,-0.09530670940876,-0.2080034911632537,-0.1896864175796508,Jumping,Jumping_13
1761391644120995000,0.3049951171875,0.0994920553654432,0.0847635650500655,0.1313637689877301,1761391644120995000,0.3049951171875,-0.0878703668713569,-0.1956592053174972,-0.2365330159664154,Jumping,Jumping_13
1761391644131060700,0.315060791015625,-0.0588514174193143,0.0786953510522842,0.1425880505744367,1761391644131060700,0.315060791015625,-0.0662451013922691,-0.1829270422458648,-0.2674112021923065,Jumping,Jumping_13
1761391644141128000,0.3251279296875,-0.3403963224589824,0.0798728703990578,0.1662849333085119,1761391644141128000,0.3251279296875,-0.0463731288909912,-0.1526490151882171,-0.2495541870594024,Jumping,Jumping_13
1761391644151193900,0.33519384765625,-0.7873083153098821,0.0502747277319431,0.1273132514879107,1761391644151193900,0.33519384765625,-0.0321037918329238,-0.0927054286003112,-0.1816624701023101,Jumping,Jumping_13
