acc_time,acc_seconds_elapsed,acc_z,acc_y,acc_x,gyro_time,gyro_seconds_elapsed,gyro_z,gyro_y,gyro_x,activity,session
1761336349222952400,0.085952392578125,0.7380097391337156,0.8131050198674201,-0.7346186353906988,1761336349222952400,0.085952392578125,0.7984721660614014,-0.2689832150936126,0.1363678127527237,Standing,Standing_8
1761336349233019600,0.09601953125,0.8076502615928649,0.799123256266117,-0.5615279675900936,1761336349233019600,0.09601953125,0.8873744606971741,-0.2295282483100891,0.122126393020153,Standing,Standing_8
1761336349243085300,0.106085205078125,0.8703513401776551,0.8090493147358297,-0.425200475247763,1761336349243085300,0.106085205078125,0.9892414212226868,-0.1756897717714309,0.0874893218278884,Standing,Standing_8
1761336349253151500,0.1161513671875,1.0342693982243538,0.9179182702556252,-0.3376376714006066,1761336349253151500,0.1161513671875,1.0930209159851074,-0.1129326671361923,0.0349310226738452,Standing,Standing_8
1761336349263218400,0.126218505859375,1.280408643361926,1.0470753960445522,-0.3614475495224818,1761336349263218400,0.126218505859375,1.1804101467132568,-0.043052390217781,-0.0557837001979351,Standing,Standing_8
1761336349273284400,0.136284423828125,1.5483663370758294,1.0499974209710956,-0.4079473252929746,1761336349273284400,0.136284423828125,1.2575079202651978,0.0187111943960189,-0.1895617842674255,Standing,Standing_8
1761336349283351300,0.146351318359375,1.787528144416213,0.9927540232703088,-0.3849635592643171,1761336349283351300,0.146351318359375,1.332889437675476,0.0959982573986053,-0.382480651140213,Standing,Standing_8
1761336349293417500,0.15641748046875,1.8753823689579965,0.8534916830524801,-0.3119422717930749,1761336349293417500,0.15641748046875,1.400517463684082,0.1613104939460754,-0.6232736110687256,Standing,Standing_8
1761336349303483400,0.1664833984375,1.747760197651386,0.6554445609107613,-0.1558678399188444,1761336349303483400,0.1664833984375,1.473061442375183,0.1699548512697219,-0.8875830173492432,Standing,Standing_8
1761336349313550600,0.176550537109375,1.3651923744171857,0.5406681349128485,-0.0167966748915612,1761336349313550600,0.176550537109375,1.536306619644165,0.1715234071016311,-1.1137688159942627,Standing,Standing_8
1761336349323616500,0.186616455078125,0.8727139776557683,0.4271916855975985,-0.0087289211070165,1761336349323616500,0.186616455078125,1.5836647748947144,0.2374600619077682,-1.2540711164474487,Standing,Standing_8
1761336349333683500,0.196683349609375,0.5452484484404325,0.4341664930462837,-0.0928647827127948,1761336349333683500,0.196683349609375,1.5987169742584229,0.373556911945343,-1.327337622642517,Standing,Standing_8
1761336349343749600,0.20674951171875,0.4074246165931224,0.4677877537496387,-0.2391287453209981,1761336349343749600,0.20674951171875,1.5650155544281006,0.4846487939357757,-1.3358741998672483,Standing,Standing_8
1761336349353815600,0.216815673828125,0.2638660404860973,0.357846054431796,-0.3411773898340761,1761336349353815600,0.216815673828125,1.4860907793045044,0.4923700988292694,-1.2829397916793823,Standing,Standing_8
1761336349363882500,0.226882568359375,0.0757253953307867,0.0952190542213618,-0.2938371811840683,1761336349363882500,0.226882568359375,1.3902766704559326,0.4101755917072296,-1.1801081895828247,Standing,Standing_8
1761336349373948700,0.23694873046875,-0.0919143135875463,-0.174934688232094,-0.1359238799775019,1761336349373948700,0.23694873046875,1.295726656913757,0.2803807258605957,-1.0160143375396729,Standing,Standing_8
1761336349384015600,0.247015625,-0.1744599103271961,-0.3329904301166534,0.050097946392931,1761336349384015600,0.247015625,1.219934344291687,0.154215320944786,-0.7991978526115417,Standing,Standing_8
1761336349394081500,0.25708154296875,-0.1173831013649702,-0.3145972798138857,0.0666574515277519,1761336349394081500,0.25708154296875,1.1437350511550903,0.0422142669558525,-0.5667170286178589,Standing,Standing_8
1761336349404147500,0.2671474609375,0.0871849469780921,-0.1449570447281002,-0.0676093819577246,1761336349404147500,0.2671474609375,1.0601937770843506,-0.1190238893032074,-0.3862612545490265,Standing,Standing_8
1761336349414214400,0.27721435546875,0.3401841410130262,0.0183155550219118,-0.2101644801106303,1761336349414214400,0.27721435546875,0.9524622559547424,-0.3754138350486755,-0.297953724861145,Standing,Standing_8
1761336349424280300,0.2872802734375,0.4912339496582746,-0.0519962908275425,-0.2416231559526175,1761336349424280300,0.2872802734375,0.8457165956497192,-0.6597843170166016,-0.2984437644481659,Standing,Standing_8
1761336349434347300,0.29734716796875,0.4982125564992427,-0.2302054706856608,-0.1096037726003676,1761336349434347300,0.29734716796875,0.7527380585670471,-0.8954450488090515,-0.356323778629303,Standing,Standing_8
1761336349444413400,0.307413330078125,0.3547030802309512,-0.3188894240498542,0.0642108255606144,1761336349444413400,0.307413330078125,0.6580251455307007,-1.0611919164657593,-0.4385371506214142,Standing,Standing_8
1761336349454479400,0.317479248046875,0.0319464593589305,-0.2623053670406341,0.2358819819521158,1761336349454479400,0.317479248046875,0.5776432752609253,-1.1347405910491943,-0.5254878401756287,Standing,Standing_8
1761336349464546600,0.327546630859375,-0.3116641489714384,-0.1007058881346136,0.4844561260864138,1761336349464546600,0.327546630859375,0.5292379260063171,-1.1309075355529783,-0.5841963887214661,Standing,Standing_8
1761336349474612500,0.337612548828125,-0.6397919414877891,0.0511533371973782,0.7145728955753147,1761336349474612500,0.337612548828125,0.5099939703941345,-1.0443494319915771,-0.6290044784545898,Standing,Standing_8
1761336349484679400,0.347679443359375,-0.8911673337131738,0.1050358070977032,0.820929868274182,1761336349484679400,0.347679443359375,0.5112839937210083,-0.9130759239196776,-0.6542315483093262,Standing,Standing_8
